# The live-safety bands, MEASURED on the bank, red cards out; written by
# scripts/livebands.py every two days (the bank-refresh workflow) and read
# by scripts/webapp.py and scripts/bankrates.py for the live tag. The tag
# reads the league's own row where it has 50 cards or more (source
# 'league'), else the whole bank's row (league '*', source 'global'), else
# the seed. A league row under the floor is written as 'thin' and not read.
# Thresholds: safe >= 79, cautious >= 77, else unsafe.
# written	2026-09-12
# The 'flip' rows: priced plays with that tag that also print that lane,
# paired on the board's last 21 days — n cards where tip 1 graded and
# that lane won or lost (a push on the lane is no bet), hit = THAT lane,
# said = tip 1 on the same cards; flipped when the lane beats tip 1 by 5.
# league	lane	band	n	hit	said	label	source
EGY-PL	athena	−4..−1	2	100.0	84.5	safe	thin
EGY-PL	athena	−4 down	144	86.8	84.4	safe	league
EGY-PL	athena	+1 up	217	83.9	82.6	safe	league
EGY-PL	athena	−1..+1	27	70.4	79.2	safe	thin
EGY-PL	athena	−4..−1	2	100.0	84.5	safe	thin
EGY-PL	athena	−4 down	144	86.8	84.4	safe	league
EGY-PL	athena	+1 up	217	83.9	82.6	safe	league
EGY-PL	athena	−1..+1	27	70.4	79.2	safe	thin
EGY-PL	athena	−4..−1	2	100.0	84.5	safe	thin
EGY-PL	athena	−4 down	144	86.8	84.4	safe	league
EGY-PL	athena	+1 up	217	83.9	82.6	safe	league
EGY-PL	athena	−1..+1	27	70.4	79.2	safe	thin
EGY-PL	athena	−4..−1	2	100.0	84.5	safe	thin
EGY-PL	athena	−4 down	144	86.8	84.4	safe	league
ENG-CH	athena	+1 up	61	78.7	79.2	cautious	league
ENG-CH	athena	−4 down	222	91.0	83.6	safe	league
ENG-CH	watch	+1 up	113	77.9	78.7	cautious	league
ENG-CH	watch	−1..+1	2	100.0	76.0	safe	thin
ENG-CH	watch	−4 down	7	85.7	83.5	unsafe	thin
ENG-CH	priced	+1 up	189	79.9	78.5	safe	league
ENG-CH	priced	−4 down	1	100.0	83.6	unsafe	thin
ENG-CH	athena	+1 up	61	78.7	79.2	cautious	league
ENG-CH	athena	−4 down	222	91.0	83.6	safe	league
ENG-CH	watch	+1 up	113	77.9	78.7	cautious	league
ENG-CH	watch	−1..+1	2	100.0	76.0	safe	thin
ENG-CH	watch	−4 down	7	85.7	83.5	unsafe	thin
ENG-CH	priced	+1 up	189	79.9	78.5	safe	league
ENG-CH	priced	−4 down	1	100.0	83.6	unsafe	thin
ENG-CH	athena	+1 up	61	78.7	79.2	cautious	league
ENG-CH	athena	−4 down	222	91.0	83.6	safe	league
ENG-CH	watch	+1 up	113	77.9	78.7	cautious	league
ENG-CH	watch	−1..+1	2	100.0	76.0	safe	thin
ENG-CH	watch	−4 down	7	85.7	83.5	unsafe	thin
ENG-CH	priced	+1 up	189	79.9	78.5	safe	league
ENG-CH	priced	−4 down	1	100.0	83.6	unsafe	thin
ENG-CH	athena	+1 up	61	78.7	79.2	cautious	league
ENG-CH	athena	−4 down	222	91.0	83.6	safe	league
ENG-CH	watch	+1 up	113	77.9	78.7	cautious	league
ENG-CH	watch	−1..+1	2	100.0	76.0	safe	thin
ENG-CH	watch	−4 down	7	85.7	83.5	unsafe	thin
ENG-CH	priced	+1 up	189	79.9	78.5	safe	league
ENG-CH	priced	−4 down	1	100.0	83.6	unsafe	thin
ENG-CH	athena	+1 up	61	78.7	79.2	cautious	league
ENG-CH	athena	−4 down	222	91.0	83.6	safe	league
ENG-CH	watch	+1 up	113	77.9	78.7	cautious	league
ENG-CH	watch	−1..+1	2	100.0	76.0	safe	thin
ENG-CH	watch	−4 down	7	85.7	83.5	unsafe	thin
ENG-CH	priced	+1 up	189	79.9	78.5	safe	league
ENG-CH	priced	−4 down	1	100.0	83.6	unsafe	thin
ENG-CH	athena	+1 up	61	78.7	79.2	cautious	league
ENG-CH	athena	−4 down	222	91.0	83.6	safe	league
